,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,saint simons,31.1352,-81.3901,80.64,86,20,9.22,US,1655194796
322,yeppoon,-23.1333,150.7333,65.98,81,96,8.39,AU,1655194797
323,matola,-25.9622,32.4589,72.52,54,0,10.33,MZ,1655194799
324,mazamet,43.49,2.373,83.82,52,0,12.66,FR,1655194800
325,bonavista,48.6499,-53.1147,42.28,89,100,8.12,CA,1655194801
326,homer,59.6425,-151.5483,51.8,76,0,5.99,US,1655194802
327,grande riviere du nord,19.5833,-72.1833,73.72,92,39,2.48,HT,1655194804
328,aguimes,27.9054,-15.4461,68.63,78,20,9.22,ES,1655194805
329,manggar,-2.8833,108.2667,85.46,65,54,8.93,ID,1655194807
330,cozumel,20.5083,-86.9458,76.95,94,100,13.65,MX,1655194516
331,college,64.8569,-147.8028,63.23,52,75,0.0,US,1655194733
332,mattru,7.6244,-11.8332,74.41,93,100,2.66,SL,1655194810
333,chapais,49.7834,-74.8492,51.58,97,5,2.93,CA,1655194813
334,japura,-0.3167,102.35,89.94,51,64,4.25,ID,1655194814
335,jennings,38.7192,-90.2604,83.01,83,0,4.61,US,1655194816
336,constitucion,-35.3333,-72.4167,50.85,84,100,10.69,CL,1655194817
337,ensley,30.5188,-87.2728,83.53,91,0,4.61,US,1655194818
338,takoradi,4.8845,-1.7554,79.41,76,99,8.55,GH,1655194819
339,vilyuysk,63.7553,121.6247,62.04,59,94,8.25,RU,1655194820
340,longyearbyen,78.2186,15.6401,40.84,65,75,11.5,SJ,1655194822
341,tadine,-21.55,167.8833,71.53,90,100,15.86,NC,1655194823
342,bereda,43.2686,-7.5406,70.41,73,77,0.96,ES,1655194824
343,almaznyy,48.0448,40.045,79.63,42,60,8.16,RU,1655194825
344,sungaipenuh,-2.0833,101.3833,75.94,70,62,3.4,ID,1655194826
345,comodoro rivadavia,-45.8667,-67.5,49.86,57,0,13.8,AR,1655194828
346,cimitarra,6.3142,-73.9497,71.49,99,100,1.79,CO,1655194829
347,saint anthony,45.0205,-93.218,73.33,91,75,13.8,US,1655194830
348,ilulissat,69.2167,-51.1,32.02,80,100,12.66,GL,1655194831
349,ternate,0.8,127.4,82.96,74,49,2.06,ID,1655194832
350,nsanje,-16.92,35.262,78.66,55,4,1.92,MW,1655194834
351,mount isa,-20.7333,139.5,73.17,15,0,4.61,AU,1655194835
352,naze,28.3667,129.4833,77.92,83,87,15.86,JP,1655194836
353,melilla,35.2937,-2.9383,79.0,73,0,3.44,ES,1655194837
354,coquimbo,-29.9533,-71.3436,51.53,81,100,3.44,CL,1655194684
355,puerto del rosario,28.5004,-13.8627,71.35,73,20,13.8,ES,1655194840
356,kostino,58.9097,53.2691,71.04,36,76,6.98,RU,1655194842
357,tarija,-21.5355,-64.7296,49.55,20,0,2.59,BO,1655194843
358,san quintin,30.4833,-115.95,59.86,90,0,10.51,MX,1655194844
359,touros,-5.1989,-35.4608,71.6,86,2,8.72,BR,1655194845
360,kavaratti,10.5669,72.642,83.73,76,99,14.83,IN,1655194846
361,san rafael,-34.6177,-68.3301,47.16,51,100,1.12,AR,1655194699
